emote,description,names
🗣,"speaking, silhouette, speak, head, face",speaking head
🗡,"weapon, knife",dagger
🤳,"dark skin tone, selfie, phone, camera",selfie: dark skin tone
🤳,"selfie, phone, medium-dark skin tone, camera",selfie: medium-dark skin tone
🗞,"news, rolled, paper, newspaper",rolled-up newspaper
🤳,"selfie, phone, camera, medium skin tone",selfie: medium skin tone
🗝,"old, lock, key, clue",old key
🤳,"selfie, phone, medium-light skin tone, camera",selfie: medium-light skin tone
🚣,"rowboat, woman, boat",woman rowing boat
🗜,"compress, tool, vice",clamp
🤳,"selfie, phone, light skin tone, camera",selfie: light skin tone
🙍,"dark skin tone, frowning, gesture, woman",woman frowning: dark skin tone
🙋,"gesture, woman, raising hand, medium skin tone",woman raising hand: medium skin tone
🗓,"spiral, pad, calendar",spiral calendar
🗒,"spiral, note, pad",spiral notepad
🗑,wastebasket,wastebasket
🚣,"rowboat, medium-dark skin tone, woman, boat",woman rowing boat: medium-dark skin tone
🚴,"bicycle, cyclist, biking, medium skin tone, man",man biking: medium skin tone
㊙,"japanese, ?, “secret”, ideograph",Japanese “secret” button
👩,"family, boy, woman","family: woman, woman, boy, boy"
㊗,"japanese, ?, “congratulations”, ideograph",Japanese “congratulations” button
🏋,"weight lifter, medium-dark skin tone, woman",woman lifting weights: medium-dark skin tone
🗄,"filing, file, cabinet",file cabinet
🗃,"card, file, box",card file box
🗂,"index, card, dividers",card index dividers
👨,"justice, scales, man",man judge
🙇,"favor, light skin tone, apology, gesture, woman, sorry, bowing",woman bowing: light skin tone
🖼,"museum, painting, picture, frame, art",framed picture
↙,"intercardinal, southwest, arrow, direction",down-left arrow
↘,"southeast, intercardinal, arrow, direction",down-right arrow
👨,"family, girl, man","family: man, girl, girl"
↗,"intercardinal, northeast, arrow, direction",up-right arrow
🤷,"medium-dark skin tone, woman, indifference, shrug, ignorance, doubt",woman shrugging: medium-dark skin tone
👨,"family, boy, girl, man","family: man, girl, boy"
↖,"intercardinal, northwest, arrow, direction",up-left arrow
↕,arrow,up-down arrow
↔,arrow,left-right arrow
🖲,computer,trackball
🖱,computer,computer mouse
🖨,computer,printer
🖥,"computer, desktop",desktop computer
🖤,"evil, wicked, black",black heart
👲,"dark skin tone, hat, gua pi mao, man",man with Chinese cap: dark skin tone
👲,"hat, medium-dark skin tone, gua pi mao, man",man with Chinese cap: medium-dark skin tone
👲,"hat, gua pi mao, medium skin tone, man",man with Chinese cap: medium skin tone
👲,"hat, medium-light skin tone, gua pi mao, man",man with Chinese cap: medium-light skin tone
👲,"light skin tone, hat, gua pi mao, man",man with Chinese cap: light skin tone
👩,"medium-light skin tone, manager, business, office, woman, architect, white-collar",woman office worker: medium-light skin tone
👩,"coder, medium-light skin tone, developer, software, woman, technologist, inventor",woman technologist: medium-light skin tone
👩,"plane, medium-light skin tone, woman, pilot",woman pilot: medium-light skin tone
🤴,"dark skin tone, prince",prince: dark skin tone
🤴,"prince, medium-dark skin tone",prince: medium-dark skin tone
🤴,"prince, medium skin tone",prince: medium skin tone
🤴,"prince, medium-light skin tone",prince: medium-light skin tone
🤴,"light skin tone, prince",prince: light skin tone
🏄,"surfing, man",man surfing
🕵,"sleuth, medium-light skin tone, spy, woman, detective",woman detective: medium-light skin tone
➿,"loop, curl, double",double curly loop
👩,"industrial, factory, assembly, woman, worker, medium skin tone",woman factory worker: medium skin tone
👩,"instructor, professor, woman, teacher, medium skin tone",woman teacher: medium skin tone
🏃,"dark skin tone, racing, running, marathon, man",man running: dark skin tone
👳,"dark skin tone, turban, woman",woman wearing turban: dark skin tone
➰,"loop, curl",curly loop
👱,"woman, blonde, medium skin tone",blond-haired woman: medium skin tone
🤽,"dark skin tone, woman, water polo",woman playing water polo: dark skin tone
💂,"medium-light skin tone, guard, man",man guard: medium-light skin tone
👨,"dark skin tone, graduate, student, man",man student: dark skin tone
➡,"east, arrow, direction, cardinal",right arrow
👨,"light skin tone, graduate, student, man",man student: light skin tone
👮,"light skin tone, officer, woman, police, cop",woman police officer: light skin tone
👳,"dark skin tone, turban",person wearing turban: dark skin tone
👳,"turban, medium-dark skin tone",person wearing turban: medium-dark skin tone
👳,"turban, medium skin tone",person wearing turban: medium skin tone
🏄,"dark skin tone, woman, surfing",woman surfing: dark skin tone
👳,"turban, medium-light skin tone",person wearing turban: medium-light skin tone
👳,"light skin tone, turban",person wearing turban: light skin tone
ℹ,"i, information",information
👨,"dark skin tone, cook, chef, man",man cook: dark skin tone
👨,"cook, light skin tone, chef, man",man cook: light skin tone
🤵,"tuxedo, dark skin tone, man, groom",man in tuxedo: dark skin tone
🤵,"tuxedo, medium-dark skin tone, man, groom",man in tuxedo: medium-dark skin tone
🤵,"tuxedo, medium skin tone, man, groom",man in tuxedo: medium skin tone
🤵,"tuxedo, medium-light skin tone, man, groom",man in tuxedo: medium-light skin tone
🚣,"rowboat, man, boat",man rowing boat
🤵,"tuxedo, light skin tone, man, groom",man in tuxedo: light skin tone
🙍,"dark skin tone, frowning, gesture, man",man frowning: dark skin tone
🙋,"gesture, raising hand, medium skin tone, man",man raising hand: medium skin tone
™,"tm, trademark, mark",trade mark
👩,"artist, palette, woman, medium skin tone",woman artist: medium skin tone
👩,"entertainer, singer, actor, woman, star, rock, medium skin tone",woman singer: medium skin tone
🚣,"rowboat, medium-dark skin tone, man, boat",man rowing boat: medium-dark skin tone
🏋,"weight lifter, medium-dark skin tone, man",man lifting weights: medium-dark skin tone
💪,"dark skin tone, muscle, comic, flex, biceps",flexed biceps: dark skin tone
💆,"face, medium skin tone, massage, man",man getting massage: medium skin tone
💪,"muscle, comic, flex, medium-dark skin tone, biceps",flexed biceps: medium-dark skin tone
💪,"muscle, comic, flex, biceps, medium skin tone",flexed biceps: medium skin tone
💪,"muscle, comic, flex, medium-light skin tone, biceps",flexed biceps: medium-light skin tone
🙇,"favor, light skin tone, apology, gesture, sorry, bowing, man",man bowing: light skin tone
💪,"muscle, comic, light skin tone, flex, biceps",flexed biceps: light skin tone
🤦,"dark skin tone, exasperation, disbelief, woman, facepalm",woman facepalming: dark skin tone
🖖,"spock, hand, vulcan, finger",vulcan salute
🖕,"hand, finger",middle finger
🖐,"hand, splayed, finger",raised hand with fingers splayed
🙎,"dark skin tone, pouting, gesture, woman",woman pouting: dark skin tone
🤸,"gymnastics, woman, cartwheel",woman cartwheeling
🖍,crayon,crayon
🖌,painting,paintbrush
🖋,"pen, fountain",fountain pen
🖊,ballpoint,pen
👨,"farmer, dark skin tone, gardener, rancher, man",man farmer: dark skin tone
👨,"farmer, light skin tone, gardener, rancher, man",man farmer: light skin tone
🖇,"paperclip, link",linked paperclips
👴,"dark skin tone, old, man",old man: dark skin tone
👴,"old, medium-dark skin tone, man",old man: medium-dark skin tone
👴,"old, medium skin tone, man",old man: medium skin tone
🇪,flag,European Union
👴,"old, medium-light skin tone, man",old man: medium-light skin tone
👨,"dark skin tone, doctor, nurse, healthcare, therapist, man",man health worker: dark skin tone
👴,"old, light skin tone, man",old man: light skin tone
🇪,flag,Ethiopia
👨,"firetruck, firefighter, medium skin tone, man",man firefighter: medium skin tone
🇪,flag,Spain
🇪,flag,Eritrea
🏊,"dark skin tone, swim",person swimming: dark skin tone
🏊,"swim, medium-dark skin tone",person swimming: medium-dark skin tone
🏊,"swim, medium skin tone",person swimming: medium skin tone
🕺,"dance, man",man dancing
🏊,"medium-light skin tone, swim",person swimming: medium-light skin tone
🏊,"light skin tone, swim",person swimming: light skin tone
🕹,"game, video game",joystick
🕸,"web, spider",spider web
🕷,insect,spider
🏊,"medium-light skin tone, swim, woman",woman swimming: medium-light skin tone
💇,"woman, medium skin tone, haircut",woman getting haircut: medium skin tone
🤶,"dark skin tone, claus, mother, mrs., celebration, christmas",Mrs. Claus: dark skin tone
🕶,"eye, eyewear, dark, glasses",sunglasses
🤶,"claus, mother, mrs., medium-dark skin tone, celebration, christmas",Mrs. Claus: medium-dark skin tone
🕵,"sleuth, spy, detective",detective
🤶,"claus, mother, mrs., celebration, christmas, medium skin tone",Mrs. Claus: medium skin tone
🇪,flag,Western Sahara
🕴,"business, suit, man",man in business suit levitating
🤶,"claus, mother, medium-light skin tone, mrs., celebration, christmas",Mrs. Claus: medium-light skin tone
🇪,flag,Egypt
🕳,hole,hole
🤶,"claus, light skin tone, mother, mrs., celebration, christmas",Mrs. Claus: light skin tone
🇪,flag,Estonia
🕰,clock,mantelpiece clock
🇪,flag,Ecuador
🕯,light,candle
👨,"rocket, astronaut, medium skin tone, man",man astronaut: medium skin tone
🇪,flag,Ceuta & Melilla
🕵,"sleuth, medium-light skin tone, spy, detective, man",man detective: medium-light skin tone
👩,"family, woman, girl","family: woman, girl, girl"
👩,"family, boy, woman, girl","family: woman, girl, boy"
🕧,"thirty, 12, clock, 30, 12:30, twelve",twelve-thirty
🕦,"11:30, thirty, clock, 11, eleven, 30",eleven-thirty
🕥,"ten, thirty, clock, 10:30, 10, 30",ten-thirty
🕤,"9:30, thirty, clock, nine, 9, 30",nine-thirty
👳,"dark skin tone, turban, man",man wearing turban: dark skin tone
🕣,"thirty, eight, clock, 8:30, 8, 30",eight-thirty
➗,"math, division",heavy division sign
🕢,"thirty, clock, seven, 7:30, 30, 7",seven-thirty
➖,"minus, math",heavy minus sign
🕡,"6:30, 6, thirty, six, clock, 30",six-thirty
➕,"math, plus",heavy plus sign
🕠,"5, five, thirty, 5:30, clock, 30",five-thirty
👱,"blond, medium skin tone, man",blond-haired man: medium skin tone
🕟,"4, thirty, clock, 4:30, four, 30",four-thirty
🕞,"thirty, 3, clock, three, 3:30, 30",three-thirty
🕝,"2:30, two, thirty, clock, 2, 30",two-thirty
🕜,"thirty, one, clock, 1:30, 1, 30",one-thirty
🕛,"12:00, 12, 00, clock, o’clock, twelve",twelve o’clock
🕚,"00, clock, 11, 11:00, o’clock, eleven",eleven o’clock
🤽,"dark skin tone, water polo, man",man playing water polo: dark skin tone
☝,"up, point, dark skin tone, hand, index, finger",index pointing up: dark skin tone
☝,"up, point, hand, index, medium-dark skin tone, finger",index pointing up: medium-dark skin tone
🕙,"ten, 00, clock, 10, o’clock, 10:00",ten o’clock
☝,"up, point, hand, index, finger, medium skin tone",index pointing up: medium skin tone
🕘,"00, clock, nine, 9:00, o’clock, 9",nine o’clock
☝,"up, point, hand, index, medium-light skin tone, finger",index pointing up: medium-light skin tone
🕗,"eight, 00, clock, o’clock, 8, 8:00",eight o’clock
☝,"up, point, light skin tone, hand, index, finger",index pointing up: light skin tone
🕖,"7:00, 00, clock, seven, o’clock, 7",seven o’clock
🙆,"hand, ok, gesture, woman",woman gesturing OK
🕕,"6, six, 00, clock, 6:00, o’clock",six o’clock
🕔,"5, five, 00, clock, o’clock, 5:00",five o’clock
🕓,"4:00, 4, 00, clock, four, o’clock",four o’clock
🕒,"3:00, 3, 00, clock, three, o’clock",three o’clock
👩,"mathematician, engineer, light skin tone, woman, physicist, chemist, biologist, scientist",woman scientist: light skin tone
🕑,"two, 00, clock, 2, 2:00, o’clock",two o’clock
🕐,"00, one, clock, 1, o’clock, 1:00",one o’clock
🚴,"bicycle, light skin tone, cyclist, woman, biking",woman biking: light skin tone
🕎,"candelabrum, religion, candlestick",menorah
👩,"light skin tone, electrician, tradesperson, plumber, woman, mechanic",woman mechanic: light skin tone
🕍,"jewish, religion, temple, jew",synagogue
🕌,"islam, religion, muslim",mosque
🕋,"islam, religion, muslim",kaaba
🕊,"peace, fly, bird",dove
👮,"light skin tone, officer, police, man, cop",man police officer: light skin tone
🕉,"religion, hindu",om
🔽,"button, arrow, red, down",down button
🔼,"button, arrow, red",up button
👵,"dark skin tone, old, woman",old woman: dark skin tone
🔻,"red, geometric, down",red triangle pointed down
👵,"old, medium-dark skin tone, woman",old woman: medium-dark skin tone
🔺,"red, geometric",red triangle pointed up
👵,"old, woman, medium skin tone",old woman: medium skin tone
👵,"old, medium-light skin tone, woman",old woman: medium-light skin tone
🏄,"dark skin tone, surfing, man",man surfing: dark skin tone
👵,"old, light skin tone, woman",old woman: light skin tone
🔹,"blue, geometric, diamond",small blue diamond
🔸,"orange, geometric, diamond",small orange diamond
🔷,"blue, geometric, diamond",large blue diamond
🇫,flag,France
🔶,"orange, geometric, diamond",large orange diamond
🔵,"blue, circle, geometric",blue circle
🔴,"red, circle, geometric",red circle
🏋,"dark skin tone, lifter, weight",person lifting weights: dark skin tone
🇫,flag,Faroe Islands
🔳,"button, outlined, square, geometric",white square button
🏋,"medium-dark skin tone, lifter, weight",person lifting weights: medium-dark skin tone
🔲,"button, square, geometric",black square button
🏋,"lifter, weight, medium skin tone",person lifting weights: medium skin tone
🇫,flag,Micronesia
🔱,"trident, tool, anchor, ship, emblem",trident emblem
🏋,"medium-light skin tone, lifter, weight",person lifting weights: medium-light skin tone
🔰,"leaf, japanese, tool, beginner, green, chevron, yellow",Japanese symbol for beginner
🏋,"light skin tone, lifter, weight",person lifting weights: light skin tone
🇫,flag,Falkland Islands
❤,heart,red heart
❣,"exclamation, punctuation, mark",heavy heart exclamation
🤾,"dark skin tone, woman, handball",woman playing handball: dark skin tone
👩,"graduate, student, woman, medium skin tone",woman student: medium skin tone
🔯,"fortune, star",dotted six-pointed star
🇫,flag,Fiji
🔮,"fortune, tool, fairy tale, fantasy, crystal, ball",crystal ball
🤷,"dark skin tone, indifference, shrug, ignorance, doubt",person shrugging: dark skin tone
🇫,flag,Finland
🔭,"science, tool",telescope
🤷,"medium-dark skin tone, indifference, shrug, ignorance, doubt",person shrugging: medium-dark skin tone
🔬,"science, tool",microscope
🤷,"indifference, shrug, ignorance, medium skin tone, doubt",person shrugging: medium skin tone
🔫,"tool, weapon, revolver, handgun, gun",pistol
🤷,"medium-light skin tone, indifference, shrug, ignorance, doubt",person shrugging: medium-light skin tone
🔪,"hocho, tool, cooking, weapon, knife",kitchen knife
🤷,"light skin tone, indifference, shrug, ignorance, doubt",person shrugging: light skin tone
🔩,"tool, nut, bolt",nut and bolt
🔨,tool,hammer
🔧,"tool, wrench, spanner",wrench
🔦,"torch, light, electric, tool",flashlight
🔥,"tool, flame",fire
🔤,"input, latin, abc, alphabet, letters",input latin letters
🔣,"input, ??&%",input symbols
❗,"exclamation, punctuation, mark",exclamation mark
🔢,"numbers, input, 1234",input numbers
🔡,"input, latin, lowercase, abcd, letters",input latin lowercase
❕,"exclamation, outlined, punctuation, mark",white exclamation mark
🔠,"input, uppercase, latin, abcd, letters",input latin uppercase
❔,"question, outlined, punctuation, mark",white question mark
❓,"question, punctuation, mark",question mark
🙅,"hand, forbidden, gesture, medium-dark skin tone, woman, prohibited, no",woman gesturing NO: medium-dark skin tone
🔟,keycap 10,keycap 10
🔞,"forbidden, underage, not, prohibited, age restriction, 18, no, eighteen",no one under eighteen
🔝,"up, arrow, top",TOP arrow
🔜,"soon, arrow",SOON arrow
🔛,"on, arrow, mark",ON! arrow
🔚,"end, arrow",END arrow
❎,"square, mark",cross mark button
❌,"x, multiply, cancel, multiplication, mark",cross mark
🔙,"back, arrow",BACK arrow
🔘,"radio, button, geometric",radio button
🔗,link,link
🔖,mark,bookmark
🔕,"silent, quiet, forbidden, bell, not, mute, prohibited, no",bell with slash
🔔,bell,bell
🔓,"open, lock, unlock",unlocked
❇,sparkle,sparkle
🔒,closed,locked
🔑,"password, lock",key
🔐,"closed, lock, key, secure",locked with key
❄,"cold, snow",snowflake
👩,"cook, chef, woman, medium skin tone",woman cook: medium skin tone
🔏,"ink, nib, privacy, lock, pen",locked with pen
🔎,"tool, search, magnifying, glass",right-pointing magnifying glass
🔍,"tool, search, magnifying, glass",left-pointing magnifying glass
🔌,"plug, electric, electricity",electric plug
🔋,battery,battery
🔊,loud,speaker high volume
🏃,"racing, running, woman, marathon, medium skin tone",woman running: medium skin tone
🤦,"dark skin tone, exasperation, disbelief, facepalm, man",man facepalming: dark skin tone
🔉,medium,speaker medium volume
🔈,soft,speaker low volume
🔇,"silent, speaker, quiet, mute",muted speaker
🔆,"bright, brightness",bright button
🔅,"low, dim, brightness",dim button
🔄,"withershins, counterclockwise, arrow, anticlockwise",anticlockwise arrows button
🔃,"clockwise, reload, arrow",clockwise vertical arrows
🔂,"clockwise, once, arrow",repeat single button
🔁,"clockwise, repeat, arrow",repeat button
🔀,"arrow, crossed",shuffle tracks button
✴,star,eight-pointed star
✳,asterisk,eight-spoked asterisk
🤸,"gymnastics, cartwheel, man",man cartwheeling
🇬,flag,Guyana
✨,"star, sparkle",sparkles
🇬,flag,Guinea-Bissau
👶,"dark skin tone, young, baby",baby: dark skin tone
👶,"medium-dark skin tone, young, baby",baby: medium-dark skin tone
🇬,flag,Guam
👶,"young, baby, medium skin tone",baby: medium skin tone
👶,"medium-light skin tone, young, baby",baby: medium-light skin tone
👶,"light skin tone, young, baby",baby: light skin tone
💁,"sassy, woman, tipping hand",woman tipping hand
✡,"david, jewish, religion, star, jew",star of David
🇬,flag,Guatemala
🇬,flag,South Georgia & South Sandwich Islands
🇬,flag,Greece
🇬,flag,Equatorial Guinea
🇬,flag,Guadeloupe
🏌,"dark skin tone, ball, golf",person golfing: dark skin tone
🇬,flag,Guinea
🏌,"medium-dark skin tone, ball, golf",person golfing: medium-dark skin tone
🇬,flag,Gambia
🏌,"ball, golf, medium skin tone",person golfing: medium skin tone
🇬,flag,Greenland
✝,"religion, christian, cross",latin cross
🏌,"medium-light skin tone, ball, golf",person golfing: medium-light skin tone
🏌,"light skin tone, ball, golf",person golfing: light skin tone
🏊,"medium-light skin tone, swim, man",man swimming: medium-light skin tone
💇,"medium skin tone, man, haircut",man getting haircut: medium skin tone
🤸,"dark skin tone, gymnastics, cartwheel",person cartwheeling: dark skin tone
🇬,flag,Gibraltar
🤸,"gymnastics, medium-dark skin tone, cartwheel",person cartwheeling: medium-dark skin tone
🇬,flag,Ghana
🤸,"gymnastics, cartwheel, medium skin tone",person cartwheeling: medium skin tone
🇬,flag,Guernsey
🤸,"gymnastics, medium-light skin tone, cartwheel",person cartwheeling: medium-light skin tone
🇬,flag,French Guiana
🤸,"light skin tone, gymnastics, cartwheel",person cartwheeling: light skin tone
✖,"x, multiply, cancel, multiplication",heavy multiplication x
🇬,flag,Georgia
👩,"firetruck, firefighter, woman",woman firefighter
✔,"check, mark",heavy check mark
✒,"nib, pen",black nib
🇬,flag,Grenada
🇬,flag,United Kingdom
🇬,flag,Gabon
✏,pencil,pencil
✍,"hand, write",writing hand
✌,"v, hand, victory",victory hand
✋,hand,raised hand
✊,"hand, fist, punch, clenched",raised fist
👩,"farmer, gardener, woman, rancher, medium skin tone",woman farmer: medium skin tone
✉,"email, letter",envelope
✈,"airplane, aeroplane",airplane
🚴,"dark skin tone, bicycle, cyclist, biking",person biking: dark skin tone
🚴,"bicycle, cyclist, medium-dark skin tone, biking",person biking: medium-dark skin tone
✅,"check, mark",white heavy check mark
🚴,"bicycle, cyclist, biking, medium skin tone",person biking: medium skin tone
🚴,"bicycle, cyclist, medium-light skin tone, biking",person biking: medium-light skin tone
👨,"mathematician, engineer, medium-dark skin tone, physicist, chemist, biologist, scientist, man",man scientist: medium-dark skin tone
🚴,"bicycle, light skin tone, cyclist, biking",person biking: light skin tone
👩,"rocket, woman, astronaut",woman astronaut
✂,"cutting, tool",scissors
👩,"dark skin tone, firetruck, firefighter, woman",woman firefighter: dark skin tone
🙍,"frowning, gesture, woman, medium skin tone",woman frowning: medium skin tone
👨,"electrician, tradesperson, plumber, medium-dark skin tone, mechanic, man",man mechanic: medium-dark skin tone
🙋,"light skin tone, gesture, woman, raising hand",woman raising hand: light skin tone
🙆,"hand, ok, gesture, man",man gesturing OK
🚣,"rowboat, medium-light skin tone, woman, boat",woman rowing boat: medium-light skin tone
🚴,"bicycle, light skin tone, cyclist, biking, man",man biking: light skin tone
👩,"dark skin tone, rocket, woman, astronaut",woman astronaut: dark skin tone
🏋,"weight lifter, medium-light skin tone, woman",woman lifting weights: medium-light skin tone
👩,"love, couple, woman","couple with heart: woman, woman"
👩,"love, couple, woman, man","couple with heart: woman, man"
💁,"dark skin tone, sassy, woman, tipping hand",woman tipping hand: dark skin tone
🇭,flag,Hungary
🤷,"medium-light skin tone, woman, indifference, shrug, ignorance, doubt",woman shrugging: medium-light skin tone
🇭,flag,Haiti
🇭,flag,Croatia
🇭,flag,Honduras
🇭,flag,Heard & McDonald Islands
🇭,flag,Hong Kong SAR China
🤾,"dark skin tone, man, handball",man playing handball: dark skin tone
🤹,"dark skin tone, skill, multitask, juggle, balance",person juggling: dark skin tone
🤹,"skill, multitask, juggle, medium-dark skin tone, balance",person juggling: medium-dark skin tone
🤹,"skill, multitask, juggle, balance, medium skin tone",person juggling: medium skin tone
🤹,"skill, multitask, juggle, medium-light skin tone, balance",person juggling: medium-light skin tone
🤹,"skill, multitask, light skin tone, juggle, balance",person juggling: light skin tone
🙅,"hand, forbidden, gesture, medium-dark skin tone, prohibited, no, man",man gesturing NO: medium-dark skin tone
🚵,"dark skin tone, bicycle, cyclist, bike, mountain, bicyclist",person mountain biking: dark skin tone
🚵,"bicycle, cyclist, bike, mountain, medium-dark skin tone, bicyclist",person mountain biking: medium-dark skin tone
🚵,"bicycle, cyclist, bike, mountain, bicyclist, medium skin tone",person mountain biking: medium skin tone
🚵,"bicycle, cyclist, bike, mountain, medium-light skin tone, bicyclist",person mountain biking: medium-light skin tone
🚵,"bicycle, light skin tone, cyclist, bike, mountain, bicyclist",person mountain biking: light skin tone
📿,"beads, religion, prayer, necklace, clothing",prayer beads
📽,"movie, video, film, cinema, projector",film projector
📼,"tape, vhs, video",videocassette
📻,video,radio
👨,"family, boy, man","family: man, boy, boy"
📺,"tv, video",television
🏃,"racing, running, marathon, medium skin tone, man",man running: medium skin tone
👳,"turban, woman, medium skin tone",woman wearing turban: medium skin tone
📹,"camera, video",video camera
📸,"flash, camera, video",camera with flash
📷,video,camera
📶,"cell, phone, telephone, mobile, bar, signal, antenna",antenna bars
📵,"cell, phone, telephone, mobile, forbidden, not, prohibited, no",no mobile phones
📴,"cell, phone, telephone, mobile, off",mobile phone off
📳,"cell, phone, vibration, telephone, mobile, mode",vibration mode
📲,"cell, phone, telephone, mobile, call, arrow, receive",mobile phone with arrow
📱,"cell, phone, telephone, mobile",mobile phone
👱,"light skin tone, woman, blonde",blond-haired woman: light skin tone
📰,"news, paper",newspaper
🤽,"woman, water polo, medium skin tone",woman playing water polo: medium skin tone
📯,"post, postal, horn",postal horn
📮,"mail, mailbox",postbox
📭,"lowered, mail, open, postbox, mailbox",open mailbox with lowered flag
📬,"mail, open, postbox, mailbox",open mailbox with raised flag
📫,"mail, closed, postbox, mailbox",closed mailbox with raised flag
📪,"lowered, mail, closed, postbox, mailbox",closed mailbox with lowered flag
📩,"letter, outgoing, mail, e-mail, sent, email, envelope, arrow, down",envelope with arrow
📨,"incoming, mail, email, letter, receive, envelope, e-mail",incoming envelope
📧,"mail, email, letter",e-mail
📦,"parcel, box",package
📥,"mail, tray, letter, box, receive, inbox",inbox tray
📤,"mail, sent, tray, letter, box, outbox",outbox tray
📣,cheering,megaphone
📢,"loud, public address",loudspeaker
🙆,"hand, ok, gesture, medium-dark skin tone, woman",woman gesturing OK: medium-dark skin tone
👩,"light skin tone, manager, business, office, woman, architect, white-collar",woman office worker: light skin tone
📡,"satellite, dish, antenna",satellite antenna
👩,"light skin tone, coder, developer, software, woman, technologist, inventor",woman technologist: light skin tone
📠,fax,fax machine
6,keycap,keycap: 6
💁,"sassy, tipping hand, man",man tipping hand
🇮,flag,Italy
📟,pager,pager
🇮,flag,Iceland
📞,"phone, telephone, receiver",telephone receiver
🇮,flag,Iran
📝,pencil,memo
🇮,flag,Iraq
📜,paper,scroll
📛,"badge, name",name badge
🇮,flag,British Indian Ocean Territory
📚,book,books
🇮,flag,India
🇮,flag,Isle of Man
🇮,flag,Israel
📙,"orange, book",orange book
📘,"blue, book",blue book
📗,"book, green",green book
📖,"open, book",open book
📕,"closed, book",closed book
📔,"book, decorated, notebook, cover",notebook with decorative cover
📓,notebook,notebook
📒,notebook,ledger
📑,"marker, tabs, bookmark, mark",bookmark tabs
📐,"triangle, set, ruler",triangular ruler
🇮,flag,Ireland
🏄,"woman, surfing, medium skin tone",woman surfing: medium skin tone
🇮,flag,Indonesia
📏,"straight edge, ruler",straight ruler
👩,"industrial, factory, assembly, medium-light skin tone, woman, worker",woman factory worker: medium-light skin tone
🇮,flag,Canary Islands
📎,paperclip,paperclip
📍,"pin, pushpin",round pushpin
👩,"instructor, professor, medium-light skin tone, woman, teacher",woman teacher: medium-light skin tone
📌,pin,pushpin
📋,clipboard,clipboard
📊,"chart, bar, graph",bar chart
⛽,"fuel, station, pump, gas, fuelpump",fuel pump
⛺,camping,tent
📉,"trend, chart, graph, down",chart decreasing
📈,"growth, trend, upward, chart, graph",chart increasing
📇,"rolodex, index, card",card index
📆,calendar,tear-off calendar
📅,date,calendar
⛹,ball,person bouncing ball
📄,"document, page",page facing up
⛸,"skate, ice",ice skate
📃,"document, curl, page",page with curl
⛷,"ski, snow",skier
📂,"open, file, folder",open file folder
💁,"dark skin tone, hand, sassy, help, tipping, information",person tipping hand: dark skin tone
📁,"file, folder",file folder
💁,"hand, sassy, help, tipping, medium-dark skin tone, information",person tipping hand: medium-dark skin tone
⛵,"resort, sea, yacht, boat",sailboat
🚶,"walking, dark skin tone, walk, hike",person walking: dark skin tone
📀,"blu-ray, computer, disk, optical, dvd",dvd
💁,"hand, sassy, help, tipping, information, medium skin tone",person tipping hand: medium skin tone
⛴,"passenger, boat",ferry
🚶,"walking, walk, medium-dark skin tone, hike",person walking: medium-dark skin tone
💁,"hand, sassy, help, tipping, medium-light skin tone, information",person tipping hand: medium-light skin tone
⛳,"hole, golf",flag in hole
🚶,"walking, walk, hike, medium skin tone",person walking: medium skin tone
💁,"light skin tone, hand, sassy, help, tipping, information",person tipping hand: light skin tone
⛲,fountain,fountain
🚶,"walking, walk, medium-light skin tone, hike",person walking: medium-light skin tone
⛱,"umbrella, sun, rain",umbrella on ground
🚶,"walking, walk, light skin tone, hike",person walking: light skin tone
⛰,mountain,mountain
🙍,"frowning, gesture, medium skin tone, man",man frowning: medium skin tone
💿,"computer, disk, cd, optical",optical disk
💾,"floppy, computer, disk",floppy disk
💽,"computer, minidisk, disk, optical",computer disk
💼,briefcase,briefcase
✊,"dark skin tone, hand, fist, punch, clenched",raised fist: dark skin tone
💻,"personal, pc, computer",laptop computer
✊,"hand, fist, medium-dark skin tone, punch, clenched",raised fist: medium-dark skin tone
💺,chair,seat
✊,"hand, fist, punch, clenched, medium skin tone",raised fist: medium skin tone
✊,"hand, fist, medium-light skin tone, punch, clenched",raised fist: medium-light skin tone
✊,"light skin tone, hand, fist, punch, clenched",raised fist: light skin tone
🙋,"light skin tone, gesture, raising hand, man",man raising hand: light skin tone
⛪,"religion, christian, cross",church
💹,"money, upward, market, yen, trend, bank, chart, rise, currency, growth, graph",chart increasing with yen
💸,"dollar, bank, wings, note, money, fly, banknote, bill",money with wings
💷,"pound, currency, bank, note, money, banknote, bill",pound banknote
💶,"currency, bank, note, money, euro, banknote, bill",euro banknote
💵,"dollar, currency, bank, note, money, banknote, bill",dollar banknote
⛩,"religion, shinto, shrine",shinto shrine
💴,"currency, bank, yen, note, money, banknote, bill",yen banknote
💳,"bank, card, money, credit",credit card
💲,"dollar, currency, money",heavy dollar sign
💱,"currency, exchange, bank, money",currency exchange
🚣,"rowboat, medium-light skin tone, man, boat",man rowing boat: medium-light skin tone
💰,"dollar, money, moneybag, bag",money bag
👦,"dark skin tone, boy, young",boy: dark skin tone
👦,"medium-dark skin tone, boy, young",boy: medium-dark skin tone
👦,"boy, young, medium skin tone",boy: medium skin tone
💯,"full, 100, hundred, score",hundred points
